"game_id","team","start_zone","player","count","mean_x","mean_y"
1,"home",14,"Paul
Umtiti",2,7754.25,3817.125
1,"home",14,"Christiano
Messi",3,7847,3071.25
1,"home",14,"Christiano
Salah",5,7786.8,3456
1,"home",14,"Edinson
Griezmann",4,8134.875,3099.9375
1,"home",14,"Leo
Ronaldo",4,8132.25,3634.875
1,"home",14,"Gareth
Griezmann",1,7497,2943
1,"home",14,"Edinson
De Bruyne",1,7056,2409.75
1,"home",14,"Antoine
Ramos",1,7497,2544.75
1,"home",14,"Muhamed
Cavani",1,7066.5,2470.5
1,"home",14,"Sergio
Griezmann",1,8085,4401
1,"home",15,"Christiano
Messi",3,7948.5,1116
1,"home",15,"Christiano
Salah",1,7738.5,2200.5
1,"home",15,"Edinson
Griezmann",6,7673.75,699.75
1,"home",15,"Leo
Ronaldo",1,7749,769.5
1,"home",15,"Edinson
De Bruyne",10,7676.55,780.975
1,"home",15,"Antoine
Ramos",8,7713.5625,546.75
1,"home",15,"Muhamed
Cavani",3,7332.5,936
1,"home",16,"Paul
Umtiti",2,10001.25,4981.5
1,"home",16,"Christiano
Messi",1,8935.5,5575.5
1,"home",16,"Edinson
Griezmann",2,9455.25,4772.25
1,"home",16,"Leo
Ronaldo",9,9794.16666666667,5205
1,"home",16,"Gareth
Griezmann",12,9375.625,6233.0625
1,"home",16,"Paul
De Bruyne",1,10164,5582.25
1,"home",16,"Antoine
Ramos",2,9198,6102
1,"home",17,"Paul
Umtiti",6,9738.75,3584.25
1,"home",17,"Christiano
Salah",5,9439.5,4001.4
1,"home",17,"Leo
Ronaldo",2,9387,4401
1,"home",17,"Edinson
De Bruyne",4,9531.375,3369.9375
1,"home",18,"Paul
Umtiti",1,9387,1701
1,"home",18,"Christiano
Messi",1,10143,1113.75
1,"home",18,"Edinson
Griezmann",3,9443,1010.25
1,"home",18,"Leo
Ronaldo",1,9114,2173.5
1,"home",18,"Edinson
De Bruyne",6,9632,1123.875
1,"home",18,"Antoine
Ramos",3,9061.5,686.25
1,"home",18,"Muhamed
Cavani",4,9804.375,1235.25
